ean;ubicación;articulo;color;talla;posiciontalla;descripcion producto;descripcion color;temporada;;no.orden;cliente;nombre cliente;cantidad;servida;operario;status;fecha;hora;caja
8445962739223;14-016/018;2522JA07;000030;L;4;CHAQUETA MUJER ACOLCHADA CON CUELLO;CRUDO / OFF-WHITE;I26;;1111087088;00000041;K41 - SANTANDER;1;1;000052;S;20251215;14:20;CJ000304191
8445962750594;14-020/022;2521JA72;000003;XL;4;Chaqueta Sudadera;BLACK;I26;;1111087088;00000041;K41 - SANTANDER;1;1;000052;S;20251215;14:20;CJ000304191
8445962776136;15-001/013;2611PT34;000302;28;1;JEANS DENIM REGULAR;AZUL OSC / DARK BLUE;V26;;1111087088;00000041;K41 - SANTANDER;1;1;000052;S;20251215;14:20;CJ000304191
8445962776143;15-001/013;2611PT34;000302;30;2;JEANS DENIM REGULAR;AZUL OSC / DARK BLUE;V26;;1111087088;00000041;K41 - SANTANDER;1;1;000052;S;20251215;14:20;CJ000304191
8445962776150;15-001/013;2611PT34;000302;32;3;JEANS DENIM REGULAR;AZUL OSC / DARK BLUE;V26;;1111087088;00000041;K41 - SANTANDER;1;1;000052;S;20251215;14:20;CJ000304191
8445962746689;16-018/022;2522JA57;000014;S;2;CHAQUETA LARGA MUJER ACOLCHADA CAPUCHA;KAKI / KHAKI;I26;;1111087088;00000041;K41 - SANTANDER;2;2;000052;S;20251215;14:20;CJ000304191
8445962746726;16-018/022;2522JA57;000014;XXL;6;CHAQUETA LARGA MUJER ACOLCHADA CAPUCHA;KAKI / KHAKI;I26;;1111087088;00000041;K41 - SANTANDER;1;1;000052;S;20251215;14:23;CJ000304192
8445962776075;16-025/037;2611PT32;000302;30;2;JEANS DENIM REGULAR;AZUL OSC / DARK BLUE;V26;;1111087088;00000041;K41 - SANTANDER;2;2;000052;S;20251215;14:23;CJ000304192
8445962776082;16-025/037;2611PT32;000302;32;3;JEANS DENIM REGULAR;AZUL OSC / DARK BLUE;V26;;1111087088;00000041;K41 - SANTANDER;1;1;000052;S;20251215;14:23;CJ000304192
8445962776112;16-025/037;2611PT32;000302;38;6;JEANS DENIM REGULAR;AZUL OSC / DARK BLUE;V26;;1111087088;00000041;K41 - SANTANDER;1;1;000052;S;20251215;14:24;CJ000304192
